JonathandeGuzmán EintrachtFrankfurt 30 M(CLR) 16 1094 35.8 2.1 1.9 27.3 4.5 6.72
LamineSané WerderBremen 31 D(C)M(C) 11 787 35.8 3.2 2 26.2 4.5 6.72
FlorianKainz WerderBremen 25 AM(CL) 30 1687 21.1 1 0.8 15.2 4.1 6.72
SebastianLangkamp HerthaBerlin 30 D(C) 12 955 47 4.7 3.1 36 3.3 6.72
DanielGinczek VfBStuttgart 27 FW 23 1532 14.5 0.3 0.3 8.6 5.3 6.72
TimoHorn FCCologne 25 GK 34 3060 29.5 9.4 13.5 6.5 - 6.71
KevinAkpoguma Hoffenheim 23 D(C) 22 1690 45.7 1.8 3.3 37.6 3 6.71
ChrisFührich FCCologne 20 Midfielder 2 95 14.5 - - 11.5 3 6.71
JorgeMeré FCCologne 21 D(C) 22 1891 44.1 3.8 3 33.5 3.9 6.70
PabloDeBlasis Mainz05 30 AM(CLR) 25 1655 28.1 1.8 0.9 19 6.4 6.70
OscarWendt BorussiaM.Gladbach 32 D(L)M(L) 28 2461 39.1 1.9 3.2 29.5 4.6 6.70
MarcoRuss EintrachtFrankfurt 33 D(C)DMC 19 1146 31.2 2 2.1 23.2 3.9 6.70
VladimirDarida HerthaBerlin 28 M(C)FW 21 1638 45.7 3 2 33.3 7.4 6.70
AbdulRahmanBaba Schalke04 24 D(L)M(L) 1 33 16 1 - 9 6 6.70
JosipBrekalo VfBStuttgart 20 AM(CLR) 14 728 19.7 1.1 1.1 12.7 4.8 6.70
RobinKoch Freiburg 22 D(C)DMC 26 1916 37.5 2.4 3.2 26.8 5.1 6.70
SuatSerdar Mainz05 21 DMC 25 1702 22 1 0.5 16.6 3.8 6.70
StevenZuber Hoffenheim 27 D(L)M(CLR) 20 1441 35.3 1.2 1.2 28.2 4.7 6.70
MatthiasOstrzolek Hannover96 28 D(L)M(CLR) 20 1441 35.3 1.2 1.2 28.2 4.7 6.70
KarimRekik HerthaBerlin 23 D(CL) 26 2304 51.6 4.6 4.8 38.8 3.4 6.70
RobinKnoche Wolfsburg 26 D(C) 24 2104 59.3 6.3 3.8 44.2 5 6.70
ÁdámSzalai Hoffenheim 30 FW 18 888 11.8 - 0.1 8.7 3 6.69
NevenSubotic BorussiaDortmund 29 D(C) 4 271 64.3 4.8 3.8 50 5.8 6.69
BerkayÖzcan VfBStuttgart 20 AM(C) 17 1006 24.1 0.6 0.4 19.2 3.8 6.69
MarioGomez Wolfsburg 33 FW 12 938 17.3 0.5 0.4 10.5 5.8 6.69
FrederikSörensen FCCologne 26 D(CR) 28 2004 31.7 3 3.7 20.9 4.1 6.69
PerSkjelbred HerthaBerlin 31 M(CR) 28 2183 40.5 3 1.3 31.5 4.7 6.69
SvenUlreich BayernMunich 30 GK 29 2610 27.8 6.3 7.2 14.2 0.1 6.68
Gian-LucaItter Wolfsburg 19 D(L) 5 414 29.6 1 2.6 21.6 4.4 6.68
TimKleindienst Freiburg 22 FW 22 1136 16.2 0.3 0.5 8.9 6.5 6.68
FilipKostic HamburgerSV 25 AM(LR)FW 30 2413 21.2 0.7 1 13 6.5 6.68
CarlosSalcedo EintrachtFrankfurt 24 D(CR) 20 1608 47.3 5.1 4.7 33 4.6 6.68
RenéAdler Mainz05 33 GK 14 1260 27.4 5.8 10.6 10.7 0.3 6.68
MartinHarnik Hannover96 31 M(LR)FW 30 1889 18.9 0.7 0.3 11.8 6 6.68
