ChristianFuchs Leicester 32 D(CL)M(L) 25 1918 35.8 2.2 3.2 24.3 6.1 6.81
PascalGroß Brighton 27 M(C) 38 2949 32 1.8 1.5 22.6 6.1 6.81
AlfieMawson Swansea 24 D(C) 38 3420 45.9 5 4.1 32.2 4.6 6.81
MasonHolgate Everton 21 D(CR) 15 1183 31.7 2.9 5.1 18.4 5.2 6.81
MarvinZeegelaar Watford 28 D(L)M(L) 12 995 35.2 1.3 1.4 26.8 5.7 6.81
RagnarKlavan Liverpool 32 D(C) 19 1449 63.1 2.7 2.4 54.4 3.5 6.81
MarkNoble WestHam 31 M(C) 29 2405 45.6 3.9 2.2 34.3 5.1 6.81
MamadouSakho CrystalPalace 28 D(C) 19 1599 38.9 1.5 1.8 31.8 3.8 6.81
CheikhouKouyaté WestHam 28 D(CR)DMC 33 2803 29 0.5 1.1 21.5 5.8 6.80
MarcAlbrighton Leicester 28 M(LR) 34 2544 29.6 2.2 3.8 17.6 5.9 6.80
GerardDeulofeu Watford 24 AM(LR) 7 438 20.3 0.6 - 14.6 5.1 6.80
AndreasChristensen Chelsea 22 D(C)DMC 27 2071 50 2.3 1 44.4 2.3 6.80
AlbertoMoreno Liverpool 26 D(L)M(L) 16 1264 48.9 2.2 2.9 39.1 4.8 6.80
YohanCabaye CrystalPalace 32 M(C) 31 2389 41.7 2 2.5 32.4 4.8 6.80
PatrickvanAanholt CrystalPalace 27 D(L)M(L) 28 2186 31.5 1.4 2.5 22.9 4.7 6.80
JackStephens Southampton 24 D(C) 22 1980 42.2 2.1 5.6 29.8 4.7 6.79
DaleStephens Brighton 29 M(C) 36 3240 48.8 4.1 2.1 36.8 5.8 6.79
HéctorBellerín Arsenal 23 D(R)M(R) 35 3051 52.6 0.9 1.2 43.7 6.8 6.79
ChrisWood Burnley 26 FW 24 1634 17.3 0.2 0.1 10.3 6.8 6.79
CiaranClark NewcastleUnited 28 D(CL) 20 1745 35 3.1 5.3 22 4.6 6.79
GeorginioWijnaldum Liverpool 27 M(CL) 33 2387 38.4 1.4 0.6 33.1 3.3 6.79
AnthonyKnockaert Brighton 26 AM(LR) 33 2427 29.8 1.3 0.6 23.5 4.4 6.79
BernardoSilva ManchesterCity 24 AM(CLR) 35 1520 26.7 0.6 0.5 22.6 3 6.79
JamesMilner Liverpool 32 D(L)M(CLR) 32 1764 46.3 2.7 1.4 37.3 4.8 6.78
DusanTadic Southampton 29 AM(CLR) 36 2813 30.9 0.9 1 22.2 6.8 6.78
OlivierGiroud Chelsea 31 FW 13 610 18.4 0.3 0.5 11.5 6 6.78
Adrián WestHam 31 GK 19 1710 27.4 9.2 15.6 2.5 0.1 6.78
SteveMounie Huddersfield 23 FW 28 1858 18.7 0.3 0.1 11.3 7 6.78
SalomónRondón WestBromwichAlbion 28 FW 36 2772 23.1 0.4 0.4 15.1 7.2 6.77
StevenDefour Burnley 30 DMC 24 2009 42.3 2.8 2.7 32.6 4.2 6.77
CalumChambers Arsenal 23 D(CR) 12 869 50 2.6 2.8 39.1 5.5 6.77
JonnyEvans WestBromwichAlbion 30 D(CL) 28 2273 34.3 2.9 3 24.6 3.9 6.76
