LuizAraujo Lille 22 AM(LR) 34 2025 19.9 1.3 0.7 13.8 4.1 6.71
ChidozieAwaziem Nantes 21 D(C) 22 1510 26.7 2.2 4 18.2 2.3 6.70
CiprianTatarusanu Nantes 32 GK 37 3330 24.6 7.1 10.6 6.8 0.2 6.70
GerzinoNyamsi Rennes 21 Defender 3 270 28 2.7 3.3 20 2 6.69
SamuelGrandsir Troyes 22 AM(LR) 36 2608 23.4 0.8 1.1 16.9 4.7 6.69
IssiagaSylla Toulouse 24 D(LR)M(L) 25 1597 25.5 0.8 1.7 18.4 4.6 6.69
BonganiZungu Amiens 25 DMC 26 2089 41.5 3 1.9 31.5 5.2 6.69
YohannPelé Marseille 35 GK 10 735 19.4 4.8 5.1 9.3 0.2 6.69
VincentManceau Angers 29 D(LR) 33 2970 37.8 1.6 3.5 27.4 5.4 6.69
AndreiGirotto Nantes 26 DMC 25 1522 25.6 1.7 2 17.8 4 6.69
AdrienThomasson Nantes 24 M(CLR) 36 2587 34.7 0.7 0.9 26.1 6.9 6.69
NicolasdePreville Lille 27 AM(CLR)FW 4 287 16.5 0.3 1.3 11.3 3.8 6.69
PabloMartinez Strasbourg 29 D(CL) 24 2116 38.9 3.2 3.8 28.7 3.3 6.68
ReneKrhin Nantes 28 DMC 18 1314 28.2 1.4 0.9 22.2 3.7 6.68
MouctarDiakhaby Lyon 21 D(C) 12 725 34.8 2 1.4 28.8 2.7 6.68
FrançoisMoubandje Toulouse 28 D(CL) 21 1703 31 2 3.7 20.2 5.2 6.68
Karl-JohanJohnsson Guingamp 28 GK 38 3420 26.6 8.3 11 7.3 - 6.68
JérémySorbon Guingamp 35 D(C) 29 2610 38.1 4.1 2.5 28.7 2.7 6.68
MateoPavlovic Angers 28 D(C) 24 1967 37 2 2.6 29 3.3 6.68
JeremyGelin Rennes 21 D(C)DMC 28 2315 49.3 5.3 4 36.2 3.8 6.67
IvanSantini Caen 29 FW 32 2778 22.2 0.3 0.2 13.8 7.8 6.67
FranckTabanou Guingamp 29 D(L)M(L) 15 1048 29.1 2.1 2.7 20.3 4 6.67
WesleySneijder Nice 34 AM(CL) 5 400 56.4 2.4 1.2 45.2 7.6 6.67
HabibMaïga Saint-Etienne 22 DMC 13 704 24.7 0.9 1.1 18.6 4.1 6.67
RomainThomas Angers 30 D(C) 28 2472 42.4 3.3 4 31.2 4 6.66
ÉtienneDidot Guingamp 35 M(C) 23 1637 43 2.5 2.9 32.4 5.2 6.66
SteveMandanda Marseille 33 GK 31 2682 24.5 5.4 8.1 10.9 0.2 6.66
LeboMothiba Lille 22 FW 14 1189 22.1 0.1 - 18.1 3.9 6.66
ChristopheJallet Nice 34 D(LR) 15 1174 47.3 2.1 1.2 39 5 6.65
MikeMaignan Lille 23 GK 34 3033 28.2 5.7 6.9 15.4 0.2 6.65
RomainGenevois Caen 30 D(CR) 24 1815 29.1 2.8 3.3 18.3 4.7 6.65
NicolasPallois Nantes 30 D(C) 28 2435 28.5 3.3 4.6 17.4 3.3 6.65
MoussaKonaté Amiens 25 AM(R)FW 33 2482 15.5 0.2 0.5 10.2 4.5 6.64
VukasinJovanovic Bordeaux 22 D(C) 16 1440 45.6 3.3 2.3 37.4 2.6 6.64
NicolasCozza Montpellier 19 Defender 9 578 27.1 0.8 1.9 20.1 4.3 6.64
AnwarElGhazi Lille 23 AM(LR)FW 27 1648 19 0.2 0.5 14.5 3.7 6.64
RemiWalter Nice 23 M(CR) 8 492 28.8 1.4 0.4 24.1 2.9 6.64
OpaNguette Metz 24 AM(LR)FW 17 1020 13.9 0.4 0.3 10.6 2.6 6.64
AlexisBlin Toulouse 21 DMC 26 1884 28.8 1.4 1.6 21.2 4.7 6.64
WylanCyprien Nice 23 AM(C) 16 946 49.6 2.8 1.2 41.9 3.8 6.63
JulienSerrano Monaco 20 Defender 4 279 30.3 0.8 3.3 21 5.3 6.63
SaidyJanko Saint-Etienne 22 D(R)M(R) 21 1421 27.2 0.8 1.4 20.9 4.2 6.62
JulianPalmieri Metz 31 D(L)M(L) 14 1057 29.4 1.4 1.5 22.1 4.4 6.62
YayaSanogo Toulouse 25 FW 27 1513 11.7 0.2 0.1 6.4 5 6.62
KelvinAmian Toulouse 20 D(CLR) 36 3154 27.1 1.9 2.3 19.1 3.8 6.62
AblieJallow Metz 19 Midfielder 2 131 21 0.5 1 17 2.5 6.62
MoussaNiakhaté Metz 22 D(C) 35 3105 40 5 4.3 26.8 3.9 6.61
JimmyDurmaz Toulouse 29 AM(CLR) 20 1032 23.1 1 1 15.8 5.3 6.61
EijiKawashima Metz 35 GK 29 2570 25.9 7.8 13.1 5 0.1 6.61
AymenAbdennour Marseille 29 D(C) 8 500 41.5 2 1.6 36.8 1.1 6.61
AndreaRaggi Monaco 34 D(CLR) 20 1608 30.6 2 3.6 22.3 2.8 6.61
FirminNdombeMubele Rennes 24 AM(R)FW 19 1225 13.8 0.4 0.3 9.6 3.5 6.60
Hernani Saint-Etienne 24 M(C) 14 539 19.1 2.5 0.6 13.1 2.9 6.60
WalterBenítez Nice 25 GK 28 2520 21.9 4.6 6.3 10.6 0.4 6.60
RemiWalter Troyes 23 M(CR) 12 999 35 2 1.3 27.1 4.7 6.59
SteeveYago Toulouse 25 D(CR) 21 1573 25.1 1.7 2.4 17.5 3.6 6.59
MalangSarr Nice 19 D(CL) 21 1320 50.8 3.6 2.2 41.7 3.2 6.59
